Time of the event,Duration of the event,Event type
28678, 1, switch to kernel mode
28679, 30, context saved
28709, 1, find vector 11 in memory position 0x0016
28710, 1, load address 0X01F8 into the PC
28711, 523, call device driver
29234, 30, Context switch
29264, 1, Execute IRET
29265, 68, CPU burst
29333, 1, switch to kernel mode
29334, 30, context saved
29364, 1, find vector 11 in memory position 0x0016
29365, 1, load address 0X01F8 into the PC
29366, 523, Store information in memory
29889, 30, Context switch
29919, 1, Execute IRET
29920, 23, CPU burst
29943, 1, switch to kernel mode
29944, 30, context saved
29974, 1, find vector 14 in memory position 0x001C
29975, 1, load address 0X0165 into the PC
29976, 456, call device driver
30432, 30, Context switch
30462, 1, Execute IRET
30463, 22, CPU burst
30485, 1, switch to kernel mode
30486, 30, context saved
30516, 1, find vector 14 in memory position 0x001C
30517, 1, load address 0X0165 into the PC
30518, 456, Store information in memory
30974, 30, Context switch
31004, 1, Execute IRET
31005, 29, CPU burst
31034, 1, switch to kernel mode
31035, 30, context saved
31065, 1, find vector 17 in memory position 0x0022
31066, 1, load address 0X05B3 into the PC
31067, 235, call device driver
31302, 30, Context switch
31332, 1, Execute IRET
31333, 99, CPU burst
31432, 1, switch to kernel mode
31433, 30, context saved
31463, 1, find vector 17 in memory position 0x0022
31464, 1, load address 0X05B3 into the PC
31465, 235, Store information in memory
31700, 30, Context switch
31730, 1, Execute IRET
31731, 46, CPU burst
